id,업종,브랜드,가맹사업 개월수,가맹점수,가맹점 평균매출액,창업비용,개점률,폐점률,개월수_r,가맹점수_r,평균매출액_r,창업비용_r,개점률_r,폐점률_r,레이블
184,기타 외국식,그 : 숲,31,6,525000,86900,50,0,0.040366972,0.001479728,0.145148127,0.105717762,0.5,0,3
185,기타 외식,그라찌에,202,66,115642,67700,4,13,0.35412844,0.01923646,0.0319712,0.082360097,0.04,0.13,4
186,기타 외식,그램그램,92,75,259635,168800,2,58,0.152293578,0.02189997,0.07178155,0.205352798,0.02,0.58,0
187,제과제빵,그린브라우니(green brownie),86,30,210213,180500,26,13,0.141284404,0.008582421,0.058117642,0.219586375,0.26,0.13,1
188,기타 외국식,그린하노이,131,6,436436,289700,0,16,0.223853211,0.001479728,0.120662465,0.35243309,0,0.16,5
189,기타 외국식,그릴타이,89,10,557781,160100,0,0,0.146788991,0.00266351,0.154211227,0.194768856,0,0,1
190,치킨,그시절옛날통닭,48,8,68750,44570,0,12,0.071559633,0.002071619,0.019006772,0.054221411,0,0.12,1
191,한식,금강산감자탕,213,13,419164,121201,0,46,0.374311927,0.003551347,0.115887203,0.147446472,0,0.46,4
192,주점,금별맥주,27,6,1008372,74600,83,0,0.033027523,0.001479728,0.278788015,0.090754258,0.83,0,3
193,한식,기막힌뒷고기,32,5,194146,72400,0,0,0.042201835,0.001183782,0.053675531,0.088077859,0,0,1
194,분식,기봉이 김밥,37,12,183503,50400,66,0,0.051376147,0.003255401,0.050733016,0.061313869,0.66,0,3
195,중/일식,기소야,375,39,156020,183800,7,20,0.671559633,0.011245931,0.043134676,0.223600973,0.07,0.2,4
196,패스트푸드,긱스피자,28,15,327601,67550,93,0,0.034862385,0.004143238,0.090572396,0.082177616,0.93,0,3
197,기타 외식,길동우동,39,22,407699,74600,77,4,0.055045872,0.006214856,0.112717426,0.090754258,0.77,0.04,3
198,한식,길성이,183,20,378379,277120,0,5,0.319266055,0.005622965,0.104611203,0.337128954,0,0.05,4
199,기타 외식,김가네김밥,299,427,350058,74100,7,8,0.532110092,0.126072803,0.096781177,0.090145985,0.07,0.08,4
200,한식,김경자소문난대구왕뽈찜,76,16,431342,139200,43,6,0.12293578,0.004439183,0.119254106,0.169343066,0.43,0.06,1
201,치킨,김군네통닭집,101,10,381672,49840,50,20,0.168807339,0.00266351,0.105521632,0.060632603,0.5,0.2,1
202,분식,김대표 김밥,54,6,354559,65800,0,0,0.082568807,0.001479728,0.098025587,0.080048662,0,0,1
